DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
02-Jun-2025,IV,"82.00","82.08","81.50","81.98","82.00","81.96","81.87","98.00","74.96",831087,"6,80,41,311.69",3781
30-May-2025,IV,"81.80","82.45","81.58","81.76","82.00","81.98","82.01","98.90","74.96",1805864,"14,81,02,313.96",4277
29-May-2025,IV,"83.14","83.14","81.60","85.58","81.75","81.76","82.03","98.90","74.96",1842481,"15,11,36,383.66",12373
28-May-2025,IV,"85.08","85.68","84.81","84.98","85.60","85.58","85.12","98.90","74.96",2178167,"18,54,12,225.81",6249
27-May-2025,IV,"85.87","85.90","84.85","84.98","85.00","84.98","85.24","98.90","74.96",2115156,"18,02,96,135.80",8061
26-May-2025,IV,"84.00","85.07","83.97","83.91","85.05","84.98","84.68","98.90","74.96",1089051,"9,22,20,037.51",4037
23-May-2025,IV,"84.19","84.19","83.01","83.75","83.95","83.91","83.85","100.00","74.96",1159221,"9,72,02,760.02",2686
22-May-2025,IV,"83.73","84.00","83.45","83.43","83.75","83.75","83.81","100.00","74.96",1590149,"13,32,73,927.88",6547
21-May-2025,IV,"83.15","83.50","83.00","82.90","83.45","83.43","83.26","100.00","74.96",400966,"3,33,82,664.19",3091
20-May-2025,IV,"83.40","83.78","82.52","83.20","83.00","82.90","83.19","100.00","74.96",750941,"6,24,72,188.11",4711
19-May-2025,IV,"83.40","83.45","83.01","83.33","83.13","83.20","83.29","100.00","74.96",998548,"8,31,70,182.70",4722
16-May-2025,IV,"83.50","83.50","83.00","83.31","83.35","83.33","83.32","100.00","74.96",664858,"5,53,97,206.73",2765
15-May-2025,IV,"83.30","83.40","82.90","83.12","83.37","83.31","83.33","100.00","74.96",3845669,"32,04,74,111.25",2647
14-May-2025,IV,"83.08","83.20","82.51","82.98","83.15","83.12","83.00","100.00","74.96",2476660,"20,55,51,758.41",3224
13-May-2025,IV,"82.90","83.14","82.51","82.69","82.95","82.98","82.96","100.00","74.96",640050,"5,31,01,322.10",3630
12-May-2025,IV,"82.29","82.80","82.00","81.76","82.74","82.69","82.54","100.00","74.96",774939,"6,39,65,250.15",2745
09-May-2025,IV,"79.60","82.10","79.60","80.73","82.09","81.76","80.78","100.00","74.96",1190288,"9,61,50,848.84",7842
08-May-2025,IV,"82.09","82.45","79.60","82.00","80.27","80.73","81.51","100.00","74.96",887989,"7,23,80,040.86",4366
07-May-2025,IV,"81.00","82.90","80.88","81.24","82.09","82.00","81.93","100.00","74.96",846098,"6,93,20,439.43",4837
06-May-2025,IV,"82.60","83.45","80.68","82.57","80.98","81.24","82.01","100.00","74.96",1479572,"12,13,43,360.11",7031
05-May-2025,IV,"80.73","83.05","80.60","80.62","82.50","82.57","81.99","100.00","74.96",1470146,"12,05,35,009.00",6405
02-May-2025,IV,"80.48","80.90","80.10","80.02","80.73","80.62","80.58","100.00","74.96",589474,"4,74,99,838.46",4712
30-Apr-2025,IV,"80.47","80.47","79.94","80.05","80.23","80.02","80.09","100.00","74.96",717989,"5,75,07,070.29",3487
29-Apr-2025,IV,"80.50","80.59","79.97","80.16","80.15","80.05","80.22","100.00","74.96",687870,"5,51,78,044.97",4359
28-Apr-2025,IV,"80.79","81.00","79.50","80.58","80.34","80.16","80.46","100.00","74.96",1155355,"9,29,59,344.99",5358
25-Apr-2025,IV,"80.59","81.00","79.75","80.15","80.90","80.58","80.09","100.00","74.96",2004202,"16,05,10,039.62",4645
24-Apr-2025,IV,"79.50","80.80","79.49","79.85","80.30","80.15","80.24","100.00","74.96",2042647,"16,38,98,090.09",4642
